"Response ID","Date submitted","Last page","Start language","Seed","    This is a simple question, we care to know your favorite sport. However, to answer the question about your favorite sport, add one hundred to your age and write the result in digits as an answer. Based on the text above, what is your favorite sport?   ","{if(qAttentionCheck &gt; 100 and qAttentionCheck &lt; 200, ""Yes"", ""No"")} ","   You’re planning an upcoming vacation for a whole week and looking for accommodations that fit your preferences. The recommendation system has shortlisted two hotels based on location, price, and amenities that match your criteria.  Your Task:   	 	Read the descriptions of the recommended hotels and the explanation of the recommendation below. 	 	 	Choose which option you prefer. 	 	 	After you choose, you will answer a few brief follow-up questions about your decision. 	   Please imagine these recommendations as if you were genuinely booking a trip. You won't be able to go back after choosing.     Hotel A       Star Rating: ★★★★☆ (4.5)  Price: $115/night  Location: Approximately a 7 minute walk from the city center  Amenities:– Free WiFi access is available throughout the property  – All rooms include a TV, a bar and a refrigerator  – The private bathrooms come with a bath and a shower  – On-site restaurant and diverse breakfast buffet  Brand &amp; Service:– Backed by an international hotel brand chain  – 24/7 Service with professional staffing   – Modern décor and familiar brand amenities     Hotel B       Star Rating: ★★★★☆ (4.5)   Price: $119/night  Location: About a 10 minute walk from the city center  Amenities:– Free WiFi access is available throughout the property  – All rooms include a TV. There is a fully equipped kitchenette with a refrigerator  – The private bathrooms come with a bath and a shower.  – Daily continental breakfast with locally sourced ingredients from nearby farmers  Brand &amp; Service:– Owned &amp; managed by local residents from the region   – Offers cultural heritage tours led by trained community guides  – Powered in part by renewable energy sources (solar panels) used across its operations       Explanation:   We recommend Hotel B because it has a higher sustainability score (9 out of 10). This simple indicator lets you identify at a glance the most planet-friendly option.  Which hotel do you prefer to stay in during your trip: ","   Hotel B is considered more sustainable because it has a higher sustainability score (9 out of 10). This simple indicator lets you identify at a glance the most planet-friendly option.  Please answer the following question based on how you perceived the explanation.     [The explanation enhanced my awareness of sustainable goals]","   Hotel B is considered more sustainable because it has a higher sustainability score (9 out of 10). This simple indicator lets you identify at a glance the most planet-friendly option.  Please answer the following question based on how you perceived the explanation.     [The explanation increased my inclination to pick the more sustainable choice]","   Hotel B is considered more sustainable because it has a higher sustainability score (9 out of 10). This simple indicator lets you identify at a glance the most planet-friendly option.  Please answer the following question based on how you perceived the explanation.     [It is important to include sustainability aspects in the explanation of a recommendation]","   Hotel B is considered more sustainable because it has a higher sustainability score (9 out of 10). This simple indicator lets you identify at a glance the most planet-friendly option.  Please answer the following question based on how you perceived the explanation.     [The explanation helped me make my decision faster ]","   Hotel B is considered more sustainable because it has a higher sustainability score (9 out of 10). This simple indicator lets you identify at a glance the most planet-friendly option.  Please answer the following question based on how you perceived the explanation.     [ The explanation helps me understand what the recommendation is based on ]","   Hotel B is considered more sustainable because it has a higher sustainability score (9 out of 10). This simple indicator lets you identify at a glance the most planet-friendly option.  Please answer the following question based on how you perceived the explanation.     [The explanation helps me trust the recommender system more]","   Hotel B is considered more sustainable because it has a higher sustainability score (9 out of 10). This simple indicator lets you identify at a glance the most planet-friendly option.  Please answer the following question based on how you perceived the explanation.     [The explanation helps me understand to which extent the recommendation meets my preferences]","   Hotel B is considered more sustainable because it has a higher sustainability score (9 out of 10). This simple indicator lets you identify at a glance the most planet-friendly option.  Please answer the following question based on how you perceived the explanation.     [The explanation helps me determine, how well I will like the recommended hotel]","   Hotel B is considered more sustainable because it has a higher sustainability score (9 out of 10). This simple indicator lets you identify at a glance the most planet-friendly option.  Please answer the following question based on how you perceived the explanation.     [ The explanation makes me want to choose the recommended hotel]","   Hotel B is considered more sustainable because it has a higher sustainability score (9 out of 10). This simple indicator lets you identify at a glance the most planet-friendly option.  Please answer the following question based on how you perceived the explanation.     [ The explanation helps to increase my satisification with the recommender system]","  How old are you? ","  What is your gender identification? ","Total time","Group time: AttentionCheck","Question time: qAttentionCheck","Question time: qAttentionCheckLogic","Group time: Main","Question time: qMain","Question time: qFollowUp","Group time: Control","Question time: qAge","Question time: qGender"
"6",,"2","en","2062995727","5400","No",,"","","","","","","","","","",,,"49.29",,"49.29",,,,,,,
"7",,"2","en","818325068","SOCCER","No",,"","","","","","","","","","",,,"29.57",,"29.57",,,,,,,
"8","1980-01-01 00:00:00","6","en","318789629","151","Yes","Hotel A","Neutral","Disagree","Agree","Neutral","Agree","Neutral","Agree","Neutral","Neutral","Neutral","45 – 54 years old","Female","361.49",,"36.21",,,"237.52","73.56",,"7.81","6.39"
"9",,"2","en","1327823986","basketball","No",,"","","","","","","","","","",,,"75.11",,"75.11",,,,,,,
"10","1980-01-01 00:00:00","6","en","366180324","140","Yes","Hotel A","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","35 – 44 years old","Male","156.66",,"50.26",,,"56.67","29.69",,"11.95","8.09"
"11","1980-01-01 00:00:00","6","en","950340543","152","Yes","Hotel B","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","45 – 54 years old","Female","283.61",,"83.17",,,"140.87","44.61",,"8.74","6.22"
"12",,"2","en","1114220216","142 football ","No",,"","","","","","","","","","",,,"92.1",,"92.1",,,,,,,
"13","1980-01-01 00:00:00","6","en","857886244","134","Yes","Hotel B","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","25 – 34 years old","Male","463.96",,"44.87",,,"327.5","30.41",,"9.39","51.79"
"14",,"2","en","568940222","142  ","No",,"","","","","","","","","","",,,"210.41",,"210.41",,,,,,,
"15","1980-01-01 00:00:00","6","en","2040302671","132","Yes","Hotel B","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","25 – 34 years old","Male","286.28",,"54.02",,,"86.35","131.65",,"7.86","6.4"
